IPTG_uM,binding_energy,date,fold_change,operator,rbs,repressors,username
0.0,-13.9,20161018,-0.4770502945273655,O2,RBS1027,130,gchure
0.1,-13.9,20161018,0.022274766531479483,O2,RBS1027,130,gchure
5.0,-13.9,20161018,0.049053019364876084,O2,RBS1027,130,gchure
10.0,-13.9,20161018,0.09283200261719084,O2,RBS1027,130,gchure
25.0,-13.9,20161018,0.2183384065941244,O2,RBS1027,130,gchure
50.0,-13.9,20161018,0.4609585006230016,O2,RBS1027,130,gchure
75.0,-13.9,20161018,0.5122995600881931,O2,RBS1027,130,gchure
100.0,-13.9,20161018,0.5154966783872525,O2,RBS1027,130,gchure
250.0,-13.9,20161018,0.7498792874296908,O2,RBS1027,130,gchure
500.0,-13.9,20161018,0.8115412942580671,O2,RBS1027,130,gchure
1000.0,-13.9,20161018,0.9046816036275256,O2,RBS1027,130,gchure
5000.0,-13.9,20161018,1.0315279284555328,O2,RBS1027,130,gchure
0.0,-13.9,20161019,0.006833362997876004,O2,RBS1027,130,gchure
0.1,-13.9,20161019,0.01829195879803474,O2,RBS1027,130,gchure
5.0,-13.9,20161019,0.04370578739704787,O2,RBS1027,130,gchure
10.0,-13.9,20161019,0.08746036080664367,O2,RBS1027,130,gchure
25.0,-13.9,20161019,0.19478426573684302,O2,RBS1027,130,gchure
50.0,-13.9,20161019,0.3475175611387974,O2,RBS1027,130,gchure
75.0,-13.9,20161019,0.5112235349181288,O2,RBS1027,130,gchure
100.0,-13.9,20161019,0.6214221779504608,O2,RBS1027,130,gchure
250.0,-13.9,20161019,0.8889866296862928,O2,RBS1027,130,gchure
500.0,-13.9,20161019,0.9916356741364372,O2,RBS1027,130,gchure
1000.0,-13.9,20161019,1.0206299521513538,O2,RBS1027,130,gchure
5000.0,-13.9,20161019,0.8817337793742575,O2,RBS1027,130,gchure
0.0,-13.9,20161020,0.00866857730240547,O2,RBS1027,130,gchure
0.1,-13.9,20161020,0.02256960870264249,O2,RBS1027,130,gchure
5.0,-13.9,20161020,0.023767648535892496,O2,RBS1027,130,gchure
10.0,-13.9,20161020,0.08478604585413631,O2,RBS1027,130,gchure
25.0,-13.9,20161020,0.1433349240400732,O2,RBS1027,130,gchure
50.0,-13.9,20161020,0.3939267242650713,O2,RBS1027,130,gchure
75.0,-13.9,20161020,0.5479802868593131,O2,RBS1027,130,gchure
100.0,-13.9,20161020,0.7074604207537171,O2,RBS1027,130,gchure
250.0,-13.9,20161020,0.7714158529541435,O2,RBS1027,130,gchure
500.0,-13.9,20161020,1.0202372992357476,O2,RBS1027,130,gchure
1000.0,-13.9,20161020,0.8864519390876308,O2,RBS1027,130,gchure
5000.0,-13.9,20161020,0.8334682016910403,O2,RBS1027,130,gchure
0.0,-15.3,20161102,0.011194972920867005,O1,RBS1027,130,gchure
0.1,-15.3,20161102,0.011216732931222785,O1,RBS1027,130,gchure
5.0,-15.3,20161102,0.09813103115557884,O1,RBS1027,130,gchure
10.0,-15.3,20161102,0.011625723382743921,O1,RBS1027,130,gchure
25.0,-15.3,20161102,0.08118711008086216,O1,RBS1027,130,gchure
50.0,-15.3,20161102,0.11884938036361735,O1,RBS1027,130,gchure
75.0,-15.3,20161102,0.20416262405674904,O1,RBS1027,130,gchure
100.0,-15.3,20161102,0.2807797140274093,O1,RBS1027,130,gchure
250.0,-15.3,20161102,0.3943239067282083,O1,RBS1027,130,gchure
500.0,-15.3,20161102,0.4508072654811184,O1,RBS1027,130,gchure
1000.0,-15.3,20161102,0.5852651063171183,O1,RBS1027,130,gchure
5000.0,-15.3,20161102,0.6463459741624854,O1,RBS1027,130,gchure
0.0,-15.3,20161210,0.03406479413262668,O1,RBS1027,130,gchure
0.1,-15.3,20161210,0.028109954915955984,O1,RBS1027,130,gchure
5.0,-15.3,20161210,0.013143364084573565,O1,RBS1027,130,gchure
10.0,-15.3,20161210,0.01670210580359,O1,RBS1027,130,gchure
25.0,-15.3,20161210,0.08714694178772257,O1,RBS1027,130,gchure
50.0,-15.3,20161210,0.15514646355024095,O1,RBS1027,130,gchure
75.0,-15.3,20161210,0.37857402828870734,O1,RBS1027,130,gchure
100.0,-15.3,20161210,0.21672302432839247,O1,RBS1027,130,gchure
250.0,-15.3,20161210,0.4600773185121151,O1,RBS1027,130,gchure
500.0,-15.3,20161210,0.5584718188723713,O1,RBS1027,130,gchure
1000.0,-15.3,20161210,0.6242106621702761,O1,RBS1027,130,gchure
5000.0,-15.3,20161210,0.6772220953304342,O1,RBS1027,130,gchure
0.0,-15.3,20161211,0.003814369367096143,O1,RBS1027,130,gchure
0.1,-15.3,20161211,0.0182082993152808,O1,RBS1027,130,gchure
5.0,-15.3,20161211,0.017489567407561985,O1,RBS1027,130,gchure
10.0,-15.3,20161211,0.017133220926147563,O1,RBS1027,130,gchure
25.0,-15.3,20161211,0.10652039272888934,O1,RBS1027,130,gchure
50.0,-15.3,20161211,0.2372272504202143,O1,RBS1027,130,gchure
75.0,-15.3,20161211,0.20333555807853054,O1,RBS1027,130,gchure
100.0,-15.3,20161211,0.32323743446535663,O1,RBS1027,130,gchure
250.0,-15.3,20161211,0.5341480647788733,O1,RBS1027,130,gchure
1000.0,-15.3,20161211,0.6957278801330071,O1,RBS1027,130,gchure
5000.0,-15.3,20161211,0.7592443652201979,O1,RBS1027,130,gchure
0.0,-9.7,20161212,0.7469444592564087,O3,RBS1027,130,gchure
0.1,-9.7,20161212,0.7032543934654701,O3,RBS1027,130,gchure
1.0,-9.7,20161212,0.8123694406205816,O3,RBS1027,130,gchure
5.0,-9.7,20161212,0.8782300357116719,O3,RBS1027,130,gchure
10.0,-9.7,20161212,1.009268643462618,O3,RBS1027,130,gchure
25.0,-9.7,20161212,1.0311644529011952,O3,RBS1027,130,gchure
50.0,-9.7,20161212,1.0215046075426468,O3,RBS1027,130,gchure
75.0,-9.7,20161212,1.0799868390023442,O3,RBS1027,130,gchure
100.0,-9.7,20161212,1.1844807730545723,O3,RBS1027,130,gchure
250.0,-9.7,20161212,1.1199620594818496,O3,RBS1027,130,gchure
500.0,-9.7,20161212,1.0108734122759664,O3,RBS1027,130,gchure
1000.0,-9.7,20161212,1.0763347018067726,O3,RBS1027,130,gchure
